id,carat,cut,color,clarity,depth,table,x,y,z,price
11504,0.41,Ideal,E,VVS2,60.6,56.0,4.85,4.8,2.93,1181
95284,1.23,Very Good,H,VS1,59.9,59.0,6.91,7.01,4.19,7418
184777,1.7,Premium,H,VS2,62.0,58.0,7.61,7.66,4.74,12755
5419,0.33,Ideal,F,VVS1,61.2,56.0,4.47,4.44,2.73,1020
45466,0.33,Very Good,I,SI1,62.1,58.0,4.41,4.45,2.75,445
89878,1.5,Ideal,G,SI1,61.9,55.0,7.31,7.38,4.55,10880
190533,1.51,Premium,E,VS2,61.2,58.0,7.42,7.39,4.54,15169
13688,0.56,Ideal,G,VS2,62.1,55.0,5.28,5.32,3.29,1616
20401,0.54,Ideal,G,VS1,61.4,56.0,5.22,5.26,3.22,1758
14105,0.9,Very Good,H,SI1,62.9,55.0,6.12,6.16,3.85,3718
121895,1.03,Ideal,F,VS2,61.0,57.0,6.58,6.53,4.0,8311
109006,1.03,Ideal,G,VS2,61.1,56.0,6.51,6.56,3.99,6989
143874,0.36,Ideal,D,VS2,61.7,55.0,4.59,4.62,2.84,1214
3011,0.5,Ideal,D,SI2,62.1,55.0,5.08,5.13,3.17,1253
32608,0.27,Very Good,E,VVS2,61.5,56.0,4.16,4.19,2.57,633
89426,1.21,Ideal,H,VS2,62.3,58.0,6.82,6.78,4.23,6238
22758,0.31,Ideal,G,VVS2,61.4,57.0,4.34,4.37,2.67,816
95100,0.33,Premium,G,IF,62.3,58.0,4.41,4.35,2.73,956
53722,0.3,Good,G,VVS2,63.1,57.0,4.26,4.28,2.69,678
68778,0.52,Ideal,G,VS1,61.4,57.0,5.17,5.21,3.19,1698
163698,0.3,Ideal,J,SI1,62.0,54.0,4.32,4.39,2.7,351
165361,1.02,Ideal,F,VVS2,62.2,56.0,6.45,6.49,4.03,10340
168474,0.36,Good,E,VS1,64.1,54.0,4.52,4.58,2.9,687
120545,0.32,Very Good,G,VS1,61.9,59.0,4.34,4.38,2.7,645
116095,0.44,Premium,H,SI1,60.9,59.0,4.93,4.89,2.98,992
186673,0.3,Ideal,F,VS2,62.2,55.0,4.32,4.35,2.7,524
51302,0.51,Ideal,F,SI1,61.9,56.0,5.13,5.16,3.19,1369
122631,0.9,Very Good,H,SI2,60.7,56.0,6.2,6.25,3.79,3694
61042,1.16,Ideal,H,SI1,61.5,56.0,6.78,6.73,4.15,5277
58607,0.7,Very Good,G,VS1,63.1,59.0,5.62,5.66,3.55,2654
114618,0.42,Very Good,H,SI1,62.9,59.0,4.76,4.72,2.98,898
62134,0.31,Premium,G,VS2,62.7,58.0,4.32,4.29,2.7,568
183884,0.35,Ideal,G,VVS1,61.6,57.0,4.55,4.53,2.79,1041
78176,1.01,Very Good,H,SI2,61.8,57.0,6.45,6.49,3.99,4517
111960,1.5,Premium,D,VS2,60.5,59.0,7.35,7.32,4.44,15287
80147,0.57,Ideal,D,VS1,62.1,56.0,5.29,5.32,3.3,1963
166082,0.37,Ideal,F,SI1,60.8,56.0,4.63,4.64,2.81,700
53980,0.31,Premium,G,VVS2,61.7,58.0,4.38,4.35,2.69,907
29495,1.14,Premium,I,SI1,61.1,62.0,6.76,6.72,4.11,4509
124120,0.41,Ideal,F,VVS2,62.2,56.0,4.8,4.75,2.97,1192
157586,1.08,Very Good,F,SI2,63.1,57.0,6.57,6.59,4.15,4324
59451,0.32,Ideal,G,VS2,61.0,56.0,4.39,4.43,2.68,648
5795,0.7,Very Good,G,VS2,60.3,62.0,5.74,5.8,3.47,2657
163485,1.0,Premium,F,SI1,58.6,59.0,6.6,6.55,3.86,4903
