id,carat,cut,color,clarity,depth,table,x,y,z,price
0,1.52,Premium,F,VS2,62.2,58.0,7.27,7.33,4.55,13619
1,2.03,Very Good,J,SI2,62.0,58.0,8.06,8.12,5.05,13387
2,0.7,Ideal,G,VS1,61.2,57.0,5.69,5.73,3.5,2772
3,0.32,Ideal,G,VS1,61.6,56.0,4.38,4.41,2.71,666
4,1.7,Premium,G,VS2,62.6,59.0,7.65,7.61,4.77,14453
5,1.51,Very Good,J,SI1,62.8,58.0,7.34,7.29,4.59,7506
6,0.74,Ideal,E,VS2,61.8,57.0,5.76,5.79,3.57,3229
7,1.34,Premium,G,SI2,62.5,57.0,7.0,7.05,4.38,6224
8,0.3,Ideal,F,IF,62.0,56.0,4.35,4.37,2.7,886
9,0.3,Good,J,VS1,63.6,57.0,4.26,4.28,2.72,421
10,1.01,Very Good,G,VS2,63.1,57.0,6.4,6.34,4.03,5914
11,0.23,Ideal,E,VVS2,62.0,57.0,3.96,3.98,2.46,505
12,1.01,Good,D,SI1,63.1,56.0,6.41,6.35,4.03,5703
13,0.31,Ideal,G,VVS1,61.8,56.0,4.37,4.39,2.71,789
14,1.01,Good,H,SI1,62.6,59.0,6.34,6.4,3.99,4612
15,0.33,Premium,E,VS2,61.7,59.0,4.39,4.43,2.72,723
16,1.06,Premium,E,SI2,60.9,59.0,6.61,6.56,4.01,4399
17,0.26,Very Good,F,VVS2,61.7,57.0,4.1,4.13,2.53,574
18,1.01,Premium,G,VVS1,61.8,58.0,6.44,6.37,3.96,8701
19,0.73,Very Good,G,VS2,63.1,57.0,5.77,5.75,3.63,2652
20,0.7,Ideal,F,VS1,62.2,56.0,5.67,5.72,3.54,3018
21,0.39,Ideal,E,VS2,61.6,54.0,4.67,4.72,2.89,853
22,0.25,Ideal,E,VS2,61.4,57.0,4.05,4.08,2.48,470
23,0.33,Premium,H,SI1,62.1,59.0,4.43,4.46,2.76,631
24,0.7,Ideal,F,SI1,61.8,54.0,5.71,5.73,3.54,2473
25,0.4,Very Good,F,VS1,62.3,54.0,4.69,4.73,2.93,905
26,0.71,Ideal,E,SI1,61.7,56.0,5.74,5.76,3.55,2404
27,0.5,Ideal,E,VS1,61.4,54.0,5.13,5.18,3.17,1778
28,1.11,Premium,D,SI1,60.6,59.0,6.74,6.68,4.06,5877
29,0.37,Premium,F,SI1,61.4,60.0,4.63,4.61,2.83,945
30,0.38,Ideal,G,SI1,60.7,57.0,4.68,4.73,2.86,755
31,0.9,Fair,F,SI1,66.8,58.0,6.05,5.99,3.97,2977
32,0.7,Ideal,I,VS1,62.8,54.0,5.66,5.68,3.56,2390
33,0.35,Ideal,D,VS1,60.9,56.0,4.58,4.61,2.8,1065
34,0.41,Ideal,D,VS1,62.9,54.0,4.73,4.76,2.98,1067
35,0.57,Ideal,G,SI1,61.5,55.0,5.37,5.32,3.31,1378
36,0.32,Very Good,H,VVS2,63.5,56.0,4.34,4.31,2.74,730
37,0.35,Ideal,F,VS2,61.4,56.0,4.53,4.55,2.79,806
38,0.9,Very Good,E,SI2,62.9,57.0,6.13,6.18,3.88,3084
39,0.4,Ideal,D,SI1,61.6,56.0,4.74,4.77,2.93,791
40,0.7,Very Good,D,VS2,62.1,58.0,5.65,5.68,3.52,3303
41,0.3,Ideal,D,VS2,61.3,59.0,4.33,4.31,2.64,911
42,0.31,Ideal,H,VS2,61.6,54.0,4.35,4.38,2.69,523
43,1.5,Very Good,G,SI1,63.3,56.0,7.27,7.29,4.61,10574
44,1.0,Premium,E,SI1,62.7,60.0,6.43,6.39,4.02,5105
45,1.0,Ideal,G,SI1,62.7,54.0,6.38,6.32,3.98,4672
46,0.9,Premium,E,SI1,61.8,61.0,6.19,6.12,3.8,3625
47,0.3,Premium,F,VS2,62.2,59.0,4.33,4.29,2.68,524
48,0.42,Ideal,G,VS1,61.6,56.0,4.82,4.85,2.98,877
49,1.04,Fair,G,VS1,65.4,59.0,6.31,6.39,4.16,6342
50,0.43,Premium,I,VVS1,62.2,59.0,4.8,4.82,3.0,1023
51,0.31,Very Good,H,VS1,62.9,55.0,4.33,4.35,2.73,541
52,1.2,Premium,J,SI1,63.0,58.0,6.75,6.71,4.26,4276
53,1.01,Ideal,E,SI2,62.3,57.0,6.42,6.45,4.01,4989
54,0.31,Ideal,F,VS2,62.3,55.0,4.35,4.37,2.71,696
55,0.7,Very Good,G,VS2,63.0,56.0,5.66,5.69,3.58,2530
56,0.77,Premium,E,VS1,61.1,58.0,5.89,5.95,3.61,3423
57,0.3,Ideal,G,VVS1,62.6,57.0,4.29,4.26,2.67,1013
58,0.52,Ideal,G,VVS2,61.8,57.0,5.19,5.17,3.2,1835
59,0.4,Very Good,E,SI1,62.9,54.0,4.74,4.77,2.99,898
60,0.85,Very Good,G,SI1,62.3,57.0,6.1,6.06,3.78,2968
61,1.51,Good,J,VVS1,63.7,58.0,7.19,7.3,4.62,11184
62,0.9,Ideal,H,VS2,60.7,55.0,6.15,6.11,3.72,3715
63,0.31,Ideal,G,VVS1,61.9,56.0,4.4,4.38,2.72,1046
64,0.35,Ideal,G,VS1,60.8,57.0,4.61,4.57,2.79,906
65,0.33,Ideal,I,VVS1,62.3,53.0,4.44,4.42,2.76,803
66,1.06,Ideal,E,VVS2,61.9,57.0,6.52,6.56,4.05,10378
67,1.44,Very Good,H,VS1,60.9,62.0,7.23,7.25,4.4,9683
68,0.42,Ideal,E,VS2,61.7,54.0,4.84,4.86,3.0,1135
69,0.32,Ideal,E,SI1,61.5,57.0,4.41,4.4,2.71,720
70,1.22,Ideal,H,VS1,62.0,56.0,6.86,6.9,4.26,8491
71,0.23,Very Good,F,VVS2,60.9,58.0,3.94,3.97,2.42,530
72,0.75,Very Good,E,SI1,62.1,58.0,5.79,5.82,3.61,2705
73,0.41,Premium,F,VS1,60.2,60.0,4.78,4.83,2.89,1114
74,0.41,Ideal,E,VS1,61.8,54.0,4.78,4.8,2.96,917
75,1.29,Ideal,J,SI1,60.5,57.0,7.11,7.05,4.27,6289
76,1.02,Ideal,D,VS2,62.2,56.0,6.47,6.43,4.01,9467
77,0.41,Ideal,E,SI2,62.8,56.0,4.74,4.72,2.97,876
78,0.9,Good,E,SI1,63.6,59.0,6.1,6.06,3.87,3570
79,0.3,Ideal,H,SI1,62.1,56.0,4.32,4.29,2.67,572
80,0.38,Ideal,D,VS1,61.9,55.0,4.62,4.65,2.87,1093
81,2.02,Premium,G,SI2,61.3,59.0,8.17,8.08,4.99,16104
82,0.5,Ideal,E,VS1,62.4,56.0,5.11,5.06,3.17,1830
83,1.54,Premium,G,VS1,62.4,59.0,7.37,7.35,4.6,12388
84,1.01,Very Good,G,SI1,62.4,59.0,6.34,6.37,3.97,4560
85,1.0,Premium,I,VS2,62.2,59.0,6.43,6.36,3.97,4685
86,0.32,Ideal,H,VS1,62.3,56.0,4.38,4.35,2.72,720
87,0.31,Very Good,D,SI1,63.0,54.0,4.33,4.37,2.74,571
88,2.01,Ideal,I,SI1,60.3,59.0,8.18,8.25,4.96,15930
89,0.57,Very Good,D,VS2,59.9,57.0,5.33,5.37,3.22,1949
90,1.04,Ideal,G,VS1,61.3,56.0,6.55,6.57,4.02,7152
91,1.48,Very Good,I,SI2,62.3,62.0,7.17,7.23,4.49,7270
92,0.32,Premium,G,VVS1,62.8,58.0,4.35,4.38,2.74,842
93,1.0,Very Good,E,SI1,61.0,58.0,6.44,6.49,3.93,5973
94,1.0,Premium,F,IF,60.1,60.0,6.49,6.45,3.88,10181
95,0.59,Very Good,E,VVS2,61.1,57.0,5.43,5.46,3.33,2314
96,0.27,Ideal,H,VS1,62.4,54.0,4.16,4.19,2.6,419
97,0.3,Ideal,H,SI1,61.8,56.0,4.31,4.33,2.67,464
98,1.51,Ideal,G,VS2,62.6,57.0,7.25,7.29,4.56,13254
99,0.52,Ideal,D,SI1,61.7,57.0,5.14,5.17,3.18,1699
100,1.61,Premium,F,SI1,61.2,59.0,7.5,7.54,4.61,11234
101,0.52,Premium,D,SI1,60.9,58.0,5.24,5.2,3.17,1646
102,0.52,Very Good,E,SI1,58.8,58.0,5.28,5.34,3.11,1337
103,0.7,Good,E,SI1,61.5,56.0,5.64,5.74,3.5,2647
104,1.53,Ideal,I,VVS2,61.3,56.0,7.41,7.45,4.55,11531
105,1.25,Premium,H,VS2,62.6,59.0,6.88,6.83,4.29,7385
106,1.07,Ideal,H,SI1,62.5,57.0,6.55,6.52,4.09,5330
107,1.01,Very Good,E,SI1,63.3,57.0,6.36,6.33,4.01,4529
108,0.31,Ideal,H,VS2,61.4,56.0,4.34,4.38,2.68,477
109,1.52,Very Good,H,VS2,61.5,61.0,7.36,7.43,4.55,10431
110,2.0,Ideal,G,SI2,62.5,56.0,8.09,7.96,5.03,17068
111,0.86,Ideal,I,VS2,60.4,57.0,6.12,6.17,3.71,2896
112,0.41,Premium,G,VS2,61.1,60.0,4.79,4.76,2.91,1061
113,1.01,Very Good,D,SI2,63.1,58.0,6.36,6.4,4.03,4427
114,0.55,Ideal,D,SI2,62.0,57.0,5.23,5.27,3.25,1551
115,0.97,Premium,G,VS2,62.4,59.0,6.27,6.23,3.91,4900
116,0.72,Ideal,H,SI1,61.3,56.0,5.8,5.77,3.54,2415
117,1.21,Premium,H,SI1,61.9,58.0,6.84,6.8,4.21,6319
118,1.06,Premium,E,SI2,60.9,59.0,6.58,6.56,4.02,4504
119,1.07,Premium,G,SI2,62.9,60.0,6.55,6.5,4.1,4065
120,1.51,Very Good,E,SI1,63.0,58.0,7.27,7.3,4.59,9343
121,0.41,Ideal,G,VVS2,61.5,55.0,4.8,4.82,2.96,1077
122,1.52,Premium,G,VS1,61.7,58.0,7.36,7.38,4.55,13324
123,0.3,Ideal,H,SI2,62.7,54.0,4.34,4.3,2.71,506
124,0.32,Very Good,H,VS1,63.8,57.0,4.35,4.3,2.76,720
125,1.54,Very Good,G,VS1,63.1,57.0,7.36,7.3,4.63,14344
126,1.02,Ideal,G,SI1,62.2,55.0,6.44,6.47,4.01,4793
127,0.3,Ideal,E,VVS1,61.1,57.0,4.31,4.34,2.64,995
128,0.52,Ideal,E,SI2,61.2,54.0,5.18,5.25,3.19,1141
129,0.7,Ideal,H,VS2,61.2,55.0,5.72,5.75,3.52,2574
130,1.05,Ideal,I,SI1,62.4,57.0,6.48,6.51,4.05,4714
131,0.33,Ideal,G,VS1,62.0,56.0,4.47,4.41,2.75,828
132,0.9,Very Good,E,SI2,60.3,56.0,6.25,6.28,3.78,3854
133,1.29,Very Good,D,SI1,59.3,59.0,7.18,7.12,4.23,8077
134,0.43,Ideal,J,VS1,61.7,55.0,4.85,4.83,2.98,849
135,0.3,Ideal,D,SI2,62.4,56.0,4.32,4.29,2.68,675
136,1.0,Good,H,SI2,65.3,59.0,6.27,6.21,4.08,4199
137,0.91,Good,G,SI1,63.8,56.0,6.12,6.08,3.89,3594
138,2.22,Premium,H,SI1,62.3,58.0,8.29,8.33,5.17,16390
139,1.51,Premium,F,VS2,60.6,60.0,7.37,7.32,4.45,15649
140,0.52,Very Good,F,VS2,62.5,59.0,5.11,5.13,3.2,1389
141,0.31,Premium,H,VVS1,60.9,58.0,4.38,4.42,2.67,719
142,0.31,Ideal,F,IF,61.7,56.0,4.37,4.38,2.7,914
143,0.52,Premium,J,SI2,58.1,59.0,5.26,5.31,3.05,923
144,1.27,Premium,G,VS2,61.1,58.0,6.95,6.99,4.27,8291
145,1.33,Very Good,G,VS2,63.0,56.0,6.98,6.91,4.38,8873
146,0.72,Ideal,E,SI1,62.3,55.0,5.71,5.74,3.57,2476
147,0.7,Good,D,VVS2,64.0,55.0,5.55,5.63,3.58,2527
148,1.11,Very Good,E,SI2,63.3,61.0,6.56,6.52,4.14,5400
149,1.08,Very Good,H,SI1,60.0,61.0,6.61,6.66,4.0,4415
150,1.21,Premium,I,SI1,61.5,58.0,6.84,6.79,4.19,5625
151,0.71,Very Good,G,SI2,62.5,59.0,5.68,5.72,3.56,2081
152,0.55,Ideal,G,SI1,62.7,56.0,5.21,5.24,3.27,1273
153,0.32,Ideal,D,SI2,61.2,56.0,4.42,4.45,2.71,612
154,2.01,Ideal,G,SI2,62.0,56.0,8.12,8.06,5.02,16130
155,1.29,Very Good,H,SI1,63.1,56.0,6.88,6.81,4.32,6533
156,0.28,Good,F,VVS1,58.5,61.0,4.28,4.32,2.53,482
157,0.31,Good,H,SI1,63.7,54.0,4.36,4.34,2.77,467
158,0.33,Ideal,I,VVS2,62.0,57.0,4.41,4.38,2.72,579
159,0.31,Very Good,D,SI2,63.3,58.0,4.34,4.35,2.75,462
160,0.7,Premium,F,SI1,61.2,60.0,5.69,5.72,3.5,2509
161,1.01,Premium,F,VS2,62.0,59.0,6.4,6.36,3.96,6077
162,2.01,Very Good,E,SI2,62.7,56.0,8.08,8.03,5.05,15393
163,0.75,Ideal,G,SI1,62.0,57.0,5.83,5.8,3.61,2719
164,0.33,Ideal,G,VVS1,61.6,55.0,4.47,4.51,2.76,772
165,1.01,Ideal,D,SI2,62.1,58.0,6.36,6.41,3.96,4853
166,0.74,Premium,D,SI2,61.9,59.0,5.81,5.77,3.59,2686
167,0.56,Premium,G,SI1,60.4,58.0,5.36,5.32,3.24,1207
168,0.3,Ideal,F,SI1,62.0,54.0,4.3,4.34,2.69,475
169,0.58,Ideal,H,VS2,61.7,57.0,5.33,5.36,3.3,1550
170,1.28,Ideal,J,SI2,62.1,57.0,6.91,6.86,4.28,4548
171,0.5,Premium,E,SI1,62.6,57.0,5.07,5.06,3.17,1155
172,0.55,Very Good,D,SI1,60.7,59.0,5.31,5.29,3.23,1949
173,0.3,Ideal,E,VS2,61.6,57.0,4.32,4.31,2.66,828
174,0.3,Ideal,F,VS2,61.9,55.0,4.31,4.28,2.66,776
175,0.31,Ideal,F,IF,60.9,56.0,4.43,4.45,2.7,901
176,0.56,Premium,J,VS2,61.8,60.0,5.35,5.28,3.28,1280
177,1.36,Ideal,I,SI2,62.3,57.0,7.01,7.09,4.4,5584
178,0.5,Ideal,H,VS2,61.6,57.0,5.11,5.13,3.15,1312
179,0.7,Very Good,F,SI1,62.8,58.0,5.64,5.67,3.55,2688
180,1.7,Good,J,I1,63.5,58.0,7.55,7.51,4.79,5704
181,0.74,Ideal,E,SI2,62.7,54.0,5.8,5.84,3.64,2592
182,0.5,Good,E,VS2,63.6,57.0,5.08,5.04,3.21,1436
183,1.01,Premium,J,SI2,59.8,60.0,6.48,6.45,3.86,3519
184,0.77,Ideal,F,VS1,62.0,57.0,5.91,5.87,3.65,3585
185,1.13,Premium,H,VS2,60.8,58.0,6.7,6.67,4.07,5584
186,0.71,Ideal,F,SI1,62.7,55.0,5.7,5.74,3.59,2170
187,1.61,Very Good,H,SI1,61.2,56.0,7.54,7.64,4.64,9218
188,1.01,Premium,F,SI1,62.2,53.0,6.45,6.42,4.0,6038
189,0.31,Premium,H,SI1,62.0,59.0,4.32,4.35,2.69,473
190,0.41,Ideal,E,SI1,62.6,57.0,4.77,4.74,2.98,898
191,2.1,Very Good,F,SI2,60.9,60.0,8.21,8.33,5.04,17909
192,0.34,Ideal,D,SI1,62.0,55.0,4.46,4.5,2.77,593
193,0.73,Very Good,I,VS2,63.2,57.0,5.7,5.75,3.62,2145
194,0.26,Ideal,G,VS1,61.9,55.0,4.08,4.12,2.54,565
195,0.82,Very Good,I,SI2,62.9,57.0,5.99,5.95,3.74,2698
196,0.39,Ideal,G,VVS2,61.0,56.0,4.71,4.74,2.89,1056
197,2.32,Premium,J,VS2,61.2,58.0,8.6,8.56,5.22,17666
198,1.5,Premium,G,VS1,62.1,62.0,7.16,7.09,4.42,11520
199,0.5,Premium,E,VS2,60.9,58.0,5.16,5.19,3.15,1746
200,2.24,Ideal,H,SI2,62.2,55.0,8.37,8.32,5.24,17162
201,0.7,Premium,H,VS2,61.7,59.0,5.71,5.7,3.52,2444
202,0.7,Ideal,F,SI1,61.7,57.0,5.71,5.76,3.54,2444
203,0.5,Good,E,SI1,58.7,61.0,5.2,5.19,3.05,1433
